State,Year-Month,Price per kilogram
Aguascalientes,2007-01,7.8358823529411765
Aguascalientes,2007-02,7.787173913043477
Aguascalientes,2007-03,7.6984615384615385
Aguascalientes,2007-04,7.685
Aguascalientes,2007-05,7.685
Aguascalientes,2007-06,7.685
Aguascalientes,2007-07,7.685
Aguascalientes,2007-08,7.685
Aguascalientes,2007-09,7.685
Aguascalientes,2007-10,7.685
Aguascalientes,2007-11,7.685
Aguascalientes,2007-12,7.685
Aguascalientes,2008-01,7.743846153846153
Aguascalientes,2008-02,7.734999999999999
Aguascalientes,2008-03,7.734999999999999
Aguascalientes,2008-04,7.730384615384614
Aguascalientes,2008-05,7.744166666666666
Aguascalientes,2008-06,7.785
Aguascalientes,2008-07,7.783461538461538
Aguascalientes,2008-08,7.785
Aguascalientes,2008-09,7.785
Aguascalientes,2008-10,7.7700000000000005
Aguascalientes,2008-11,7.780454545454546
Aguascalientes,2008-12,7.742142857142857
Aguascalientes,2009-01,7.731923076923077
Aguascalientes,2009-02,7.7
Aguascalientes,2009-03,7.665
Aguascalientes,2009-04,7.711250000000001
Aguascalientes,2009-05,7.836250000000001
Aguascalientes,2009-06,7.8500000000000005
Aguascalientes,2009-07,7.916071428571429
Aguascalientes,2009-08,7.928461538461539
Aguascalientes,2009-09,7.920833333333334
Aguascalientes,2009-10,7.947692307692308
Aguascalientes,2009-11,7.677272727272728
Aguascalientes,2009-12,7.6850000000000005
Aguascalientes,2010-01,7.685
Aguascalientes,2010-02,7.685000000000001
Aguascalientes,2010-03,7.6850000000000005
Aguascalientes,2010-04,7.758333333333334
Aguascalientes,2010-05,7.758333333333334
Aguascalientes,2010-06,7.843461538461539
Aguascalientes,2010-07,7.8500000000000005
Aguascalientes,2010-08,7.8500000000000005
Aguascalientes,2010-09,8.0
Aguascalientes,2010-10,8.015
Aguascalientes,2010-11,8.015
Aguascalientes,2010-12,8.165000000000001
Aguascalientes,2011-01,8.215
Aguascalientes,2011-02,8.215000000000002
Aguascalientes,2011-03,8.581666666666667
Aguascalientes,2011-04,8.748333333333333
Aguascalientes,2011-05,8.815
Aguascalientes,2011-06,9.033846153846154
Aguascalientes,2011-07,9.215384615384615
Aguascalientes,2011-08,9.4
Aguascalientes,2011-09,9.4
Aguascalientes,2011-10,9.4
Aguascalientes,2011-11,9.4
Aguascalientes,2011-12,9.4
Aguascalientes,2012-01,9.512307692307692
Aguascalientes,2012-02,9.9325
Aguascalientes,2012-03,10.215
Aguascalientes,2012-04,10.248333333333333
Aguascalientes,2012-05,10.602692307692308
Aguascalientes,2012-06,10.923846153846153
Aguascalientes,2012-07,10.95
Aguascalientes,2012-08,10.950000000000001
Aguascalientes,2012-09,10.950000000000001
Aguascalientes,2012-10,10.997142857142858
Aguascalientes,2012-11,11.094090909090909
Aguascalientes,2012-12,11.0
Aguascalientes,2013-01,11.11423076923077
Aguascalientes,2013-02,11.227727272727272
Aguascalientes,2013-03,11.32090909090909
Aguascalientes,2013-04,11.33
Aguascalientes,2013-05,11.304615384615385
Aguascalientes,2013-06,11.0
Aguascalientes,2013-07,11.0
Aguascalientes,2013-08,11.153846153846153
Aguascalientes,2013-09,11.200000000000001
Aguascalientes,2013-10,11.24
Aguascalientes,2013-11,11.1925
Aguascalientes,2013-12,11.01375
Aguascalientes,2014-01,10.987307692307693
Aguascalientes,2014-02,11.0
Aguascalientes,2014-03,11.0
Aguascalientes,2014-04,11.0
Aguascalientes,2014-05,11.0
Aguascalientes,2014-06,11.0
Aguascalientes,2014-07,11.0
Aguascalientes,2014-08,11.0
Aguascalientes,2014-09,11.0
Aguascalientes,2014-10,11.0
Aguascalientes,2014-11,11.0
Aguascalientes,2014-12,11.0
Aguascalientes,2015-01,11.0
Aguascalientes,2015-02,11.0
Aguascalientes,2015-03,11.0
Aguascalientes,2015-04,10.972499999999998
Aguascalientes,2015-05,10.835
Aguascalientes,2015-06,10.834999999999999
Aguascalientes,2015-07,10.7525
Aguascalientes,2015-08,10.67
Aguascalientes,2015-09,10.668333333333335
Aguascalientes,2015-10,10.719999999999999
Aguascalientes,2015-11,10.733636363636363
Aguascalientes,2015-12,10.75
Aguascalientes,2016-01,10.75
Aguascalientes,2016-02,10.935
Aguascalientes,2016-03,10.885
Aguascalientes,2016-04,10.885
Aguascalientes,2016-05,10.885
Aguascalientes,2016-06,10.941153846153847
Aguascalientes,2016-07,10.985000000000001
Aguascalientes,2016-08,10.985
Aguascalientes,2016-09,10.985
Aguascalientes,2016-10,10.985000000000001
Aguascalientes,2016-11,10.985000000000001
Aguascalientes,2016-12,10.985000000000001
Aguascalientes,2017-01,11.061153846153847
Aguascalientes,2017-02,11.15
Aguascalientes,2017-03,11.150000000000002
Aguascalientes,2017-04,11.15
Aguascalientes,2017-05,10.999583333333334
Aguascalientes,2017-06,10.98
Aguascalientes,2017-07,10.975000000000001
Aguascalientes,2017-08,10.915000000000001
Aguascalientes,2017-09,10.946923076923078
Aguascalientes,2017-10,10.915000000000001
Aguascalientes,2017-11,10.915
Aguascalientes,2017-12,10.915
Aguascalientes,2018-01,11.140769230769232
Aguascalientes,2018-02,11.257727272727273
Aguascalientes,2018-03,11.335909090909091
Aguascalientes,2018-04,11.435
Aguascalientes,2018-05,11.435
Aguascalientes,2018-06,11.435
Aguascalientes,2018-07,11.435
Aguascalientes,2018-08,11.435
Aguascalientes,2018-09,11.435
Aguascalientes,2018-10,11.435
Aguascalientes,2018-11,11.48
Aguascalientes,2018-12,11.598846153846154
Aguascalientes,2019-01,11.676153846153845
Aguascalientes,2019-02,11.742272727272727
Aguascalientes,2019-03,11.873333333333333
Aguascalientes,2019-04,12.205833333333333
Aguascalientes,2019-05,12.42
Aguascalientes,2019-06,12.42
Aguascalientes,2019-07,12.42
Aguascalientes,2019-08,12.398076923076925
Aguascalientes,2019-09,12.355416666666665
Aguascalientes,2019-10,12.334999999999999
Aguascalientes,2019-11,12.335
Aguascalientes,2019-12,12.335
Aguascalientes,2020-01,12.334999999999999
Aguascalientes,2020-02,12.400454545454545
Aguascalientes,2020-03,12.479999999999999
Aguascalientes,2020-04,12.514166666666666
Aguascalientes,2020-05,12.507272727272728
Aguascalientes,2020-06,
Aguascalientes,2020-07,12.54625
Aguascalientes,2020-08,12.653125
Aguascalientes,2020-09,12.719166666666666
Aguascalientes,2020-10,12.728076923076923
Aguascalientes,2020-11,12.715000000000002
Aguascalientes,2020-12,12.721666666666666
Aguascalientes,2021-01,12.635416666666666
Aguascalientes,2021-02,12.715000000000002
Aguascalientes,2021-03,12.638076923076921
Aguascalientes,2021-04,12.700416666666667
Aguascalientes,2021-05,12.7575
Aguascalientes,2021-06,12.819615384615386
Aguascalientes,2021-07,12.936153846153845
Aguascalientes,2021-08,13.208846153846155
Aguascalientes,2021-09,13.435
Aguascalientes,2021-10,13.555769230769231
Aguascalientes,2021-11,14.448333333333332
Aguascalientes,2021-12,15.28
Aguascalientes,2022-01,15.28
Aguascalientes,2022-02,15.345454545454544
Aguascalientes,2022-03,15.376249999999999
Aguascalientes,2022-04,15.514999999999999
Aguascalientes,2022-05,15.506923076923075
Aguascalientes,2022-06,15.936153846153847
Aguascalientes,2022-07,16.235
Aguascalientes,2022-08,16.34107142857143
Aguascalientes,2022-09,16.400000000000002
Aguascalientes,2022-10,16.783846153846152
Aguascalientes,2022-11,17.27
Aguascalientes,2022-12,17.315
Aguascalientes,2023-01,17.35230769230769
Aguascalientes,2023-02,17.27090909090909
Aguascalientes,2023-03,17.265
Aguascalientes,2023-04,17.265
Aguascalientes,2023-05,17.27625
Aguascalientes,2023-06,17.63230769230769
Aguascalientes,2023-07,17.839615384615385
Aguascalientes,2023-08,17.826538461538462
Aguascalientes,2023-09,17.785384615384615
Aguascalientes,2023-10,17.685
Aguascalientes,2023-11,17.685
Aguascalientes,2023-12,17.685
Aguascalientes,2024-01,17.685
Aguascalientes,2024-02,17.685
Aguascalientes,2024-03,17.670454545454547
Aguascalientes,2024-04,17.75
Baja California,2007-01,8.291304347826086
Baja California,2007-02,8.491739130434782
Baja California,2007-03,8.4525
Baja California,2007-04,8.478181818181818
Baja California,2007-05,8.472717391304348
Baja California,2007-06,8.503809523809524
Baja California,2007-07,8.5
Baja California,2007-08,8.5
Baja California,2007-09,8.49125
Baja California,2007-10,8.504999999999999
Baja California,2007-11,8.505
Baja California,2007-12,8.467
Baja California,2008-01,8.480384615384615
Baja California,2008-02,8.497083333333334
Baja California,2008-03,8.506136363636363
Baja California,2008-04,8.471923076923078
Baja California,2008-05,8.5375
Baja California,2008-06,8.491346153846154
Baja California,2008-07,8.508653846153846
Baja California,2008-08,8.549615384615384
Baja California,2008-09,8.5625
Baja California,2008-10,8.555357142857144
Baja California,2008-11,8.632954545454545
Baja California,2008-12,8.76125
Baja California,2009-01,8.874423076923078
Baja California,2009-02,8.942045454545454
Baja California,2009-03,8.925208333333334
Baja California,2009-04,8.939375
Baja California,2009-05,9.172083333333333
Baja California,2009-06,9.290192307692307
Baja California,2009-07,9.3725
Baja California,2009-08,9.364423076923076
Baja California,2009-09,9.383333333333333
Baja California,2009-10,9.863653846153845
Baja California,2009-11,9.895
Baja California,2009-12,9.834999999999999
Baja California,2010-01,9.822916666666666
Baja California,2010-02,10.05590909090909
Baja California,2010-03,10.173461538461538
Baja California,2010-04,10.209999999999999
Baja California,2010-05,10.299999999999999
Baja California,2010-06,10.197307692307692
Baja California,2010-07,10.168461538461539
Baja California,2010-08,10.182500000000001
Baja California,2010-09,10.195227272727273
Baja California,2010-10,10.182500000000001
Baja California,2010-11,10.1825
Baja California,2010-12,10.235535714285716
Baja California,2011-01,10.273269230769232
Baja California,2011-02,10.323863636363637
Baja California,2011-03,10.685
Baja California,2011-04,10.916041666666667
Baja California,2011-05,11.02346153846154
Baja California,2011-06,11.323653846153848
Baja California,2011-07,11.399999999999999
Baja California,2011-08,11.415357142857143
Baja California,2011-09,11.445
Baja California,2011-10,11.579038461538461
Baja California,2011-11,11.575681818181819
Baja California,2011-12,11.643076923076924
Baja California,2012-01,11.881346153846154
Baja California,2012-02,12.120624999999999
Baja California,2012-03,12.188333333333333
Baja California,2012-04,12.33375
Baja California,2012-05,12.4725
Baja California,2012-06,12.425576923076923
Baja California,2012-07,12.470384615384615
Baja California,2012-08,12.51142857142857
Baja California,2012-09,12.518125
Baja California,2012-10,12.633928571428571
Baja California,2012-11,12.827499999999999
Baja California,2012-12,12.843653846153845
Baja California,2013-01,12.90673076923077
Baja California,2013-02,12.987272727272726
Baja California,2013-03,12.985000000000001
Baja California,2013-04,13.00826923076923
Baja California,2013-05,12.992115384615385
Baja California,2013-06,12.985
Baja California,2013-07,12.931607142857143
Baja California,2013-08,12.9275
